date,id1,id2,object,value,event,devices
2022-01-11 07:15:01,1447,7,сырое мясо,3.8,Температура в пределах допустимого,sensor_7
2022-01-11 07:35:01,1448,5,молочная продукция,7.5,Температура вышла за пределы допустимого,sensor_5
2022-01-11 07:45:01,1449,2,вареные колбасы,8.2,Температура вышла за пределы допустимого,sensor_2
2022-01-11 07:45:01,1450,5,молочная продукция,5.9,Температура в пределах допустимого,sensor_5
2022-01-11 08:10:01,1451,2,вареные колбасы,5.5,Температура в пределах допустимого,sensor_2
2022-01-11 08:20:01,1452,7,сырое мясо,4.3,Температура вышла за пределы допустимого,sensor_7
2022-01-11 08:25:01,1453,7,сырое мясо,3.7,Температура в пределах допустимого,sensor_7
2022-01-11 09:00:01,1454,1,полукопченые колбасы,6.1,Температура вышла за пределы допустимого,sensor_1
2022-01-11 09:10:01,1455,1,полукопченые колбасы,6,Температура в пределах допустимого,sensor_1
2022-01-11 09:55:01,1456,7,сырое мясо,5.2,Температура вышла за пределы допустимого,sensor_7
2022-01-11 10:10:01,1457,7,сырое мясо,3.8,Температура в пределах допустимого,sensor_7
2022-01-11 10:30:01,1458,5,молочная продукция,7.8,Температура вышла за пределы допустимого,sensor_5
2022-01-11 10:35:00,1459,1,полукопченые колбасы,6.4,Температура вышла за пределы допустимого,sensor_1
2022-01-11 10:50:00,1460,1,полукопченые колбасы,5.8,Температура в пределах допустимого,sensor_1
2022-01-11 10:50:01,1461,5,молочная продукция,5.4,Температура в пределах допустимого,sensor_5
2022-01-11 11:10:01,1462,7,сырое мясо,4.5,Температура вышла за пределы допустимого,sensor_7
2022-01-11 11:20:01,1463,7,сырое мясо,3.7,Температура в пределах допустимого,sensor_7
2022-01-11 11:50:01,1464,2,вареные колбасы,8.5,Температура вышла за пределы допустимого,sensor_2
2022-01-11 12:10:01,1465,1,полукопченые колбасы,6.4,Температура вышла за пределы допустимого,sensor_1
2022-01-11 12:10:01,1466,2,вареные колбасы,5.9,Температура в пределах допустимого,sensor_2
2022-01-11 12:15:01,1467,7,сырое мясо,5.9,Температура вышла за пределы допустимого,sensor_7
2022-01-11 12:25:00,1468,1,полукопченые колбасы,5.9,Температура в пределах допустимого,sensor_1
2022-01-11 13:25:01,1469,5,молочная продукция,8.3,Температура вышла за пределы допустимого,sensor_5
2022-01-11 13:25:01,1470,7,сырое мясо,3.9,Температура в пределах допустимого,sensor_7
2022-01-11 13:35:01,1471,1,полукопченые колбасы,6.5,Температура вышла за пределы допустимого,sensor_1
2022-01-11 13:50:01,1472,5,молочная продукция,5.8,Температура в пределах допустимого,sensor_5
2022-01-11 13:55:00,1473,1,полукопченые колбасы,6,Температура в пределах допустимого,sensor_1
2022-01-11 15:25:01,1474,1,полукопченые колбасы,6.4,Температура вышла за пределы допустимого,sensor_1
2022-01-11 15:40:00,1475,1,полукопченые колбасы,6,Температура в пределах допустимого,sensor_1
2022-01-11 15:45:01,1476,7,сырое мясо,5.6,Температура вышла за пределы допустимого,sensor_7
2022-01-11 15:50:01,1477,2,вареные колбасы,8.4,Температура вышла за пределы допустимого,sensor_2
2022-01-11 16:10:01,1478,2,вареные колбасы,5.9,Температура в пределах допустимого,sensor_2
2022-01-11 16:10:01,1479,7,сырое мясо,3.7,Температура в пределах допустимого,sensor_7
2022-01-11 16:20:00,1480,1,полукопченые колбасы,6.9,Температура вышла за пределы допустимого,sensor_1
2022-01-11 16:20:01,1481,5,молочная продукция,8.1,Температура вышла за пределы допустимого,sensor_5
2022-01-11 16:50:01,1482,5,молочная продукция,5.6,Температура в пределах допустимого,sensor_5
2022-01-11 17:20:01,1483,1,полукопченые колбасы,6,Температура в пределах допустимого,sensor_1
2022-01-11 18:35:01,1484,7,сырое мясо,5.6,Температура вышла за пределы допустимого,sensor_7
2022-01-11 19:05:00,1485,1,полукопченые колбасы,6.7,Температура вышла за пределы допустимого,sensor_1
2022-01-11 19:10:01,1486,7,сырое мясо,4,Температура в пределах допустимого,sensor_7
2022-01-11 19:20:01,1487,5,молочная продукция,8.6,Температура вышла за пределы допустимого,sensor_5
2022-01-11 19:40:01,1488,2,вареные колбасы,8.7,Температура вышла за пределы допустимого,sensor_2
2022-01-11 19:50:01,1489,5,молочная продукция,5.7,Температура в пределах допустимого,sensor_5
2022-01-11 20:15:01,1490,2,вареные колбасы,5.8,Температура в пределах допустимого,sensor_2
2022-01-11 20:20:01,1491,1,полукопченые колбасы,5.7,Температура в пределах допустимого,sensor_1
2022-01-11 21:20:02,1492,7,сырое мясо,5.7,Температура вышла за пределы допустимого,sensor_7
2022-01-11 22:15:01,1493,7,сырое мясо,3.7,Температура в пределах допустимого,sensor_7
2022-01-11 22:20:01,1494,5,молочная продукция,8.7,Температура вышла за пределы допустимого,sensor_5
2022-01-11 22:45:00,1495,1,полукопченые колбасы,6.3,Температура вышла за пределы допустимого,sensor_1
2022-01-11 22:50:01,1496,5,молочная продукция,5.7,Температура в пределах допустимого,sensor_5
2022-01-11 23:05:01,1497,1,полукопченые колбасы,5.8,Температура в пределах допустимого,sensor_1
2022-01-11 23:45:01,1498,2,вареные колбасы,8,Температура вышла за пределы допустимого,sensor_2
2022-01-12 00:15:01,1499,2,вареные колбасы,5.6,Температура в пределах допустимого,sensor_2
2022-01-12 00:45:01,1500,7,сырое мясо,5.3,Температура вышла за пределы допустимого,sensor_7
2022-01-12 01:00:01,1501,7,сырое мясо,3.9,Температура в пределах допустимого,sensor_7
2022-01-12 01:05:00,1502,1,полукопченые колбасы,6.1,Температура вышла за пределы допустимого,sensor_1
2022-01-12 01:15:01,1503,1,полукопченые колбасы,5.9,Температура в пределах допустимого,sensor_1
2022-01-12 01:35:00,1504,1,полукопченые колбасы,6.3,Температура вышла за пределы допустимого,sensor_1
2022-01-12 01:35:00,1505,5,молочная продукция,8,Температура вышла за пределы допустимого,sensor_5
2022-01-12 01:45:01,1506,5,молочная продукция,5.5,Температура в пределах допустимого,sensor_5
2022-01-12 02:10:01,1507,1,полукопченые колбасы,5.7,Температура в пределах допустимого,sensor_1
2022-01-12 03:20:01,1508,7,сырое мясо,5.4,Температура вышла за пределы допустимого,sensor_7
2022-01-12 03:55:01,1509,2,вареные колбасы,8.2,Температура вышла за пределы допустимого,sensor_2
2022-01-12 04:05:01,1510,7,сырое мясо,3.7,Температура в пределах допустимого,sensor_7
2022-01-12 04:15:01,1511,2,вареные колбасы,5.6,Температура в пределах допустимого,sensor_2
2022-01-12 04:35:01,1512,1,полукопченые колбасы,6.3,Температура вышла за пределы допустимого,sensor_1
2022-01-12 04:40:01,1513,5,молочная продукция,6.4,Температура вышла за пределы допустимого,sensor_5
2022-01-12 04:45:00,1514,5,молочная продукция,5.3,Температура в пределах допустимого,sensor_5
2022-01-12 05:10:01,1515,1,полукопченые колбасы,6,Температура в пределах допустимого,sensor_1
2022-01-12 06:30:01,1516,7,сырое мясо,5.6,Температура вышла за пределы допустимого,sensor_7
2022-01-12 07:05:01,1517,7,сырое мясо,3.5,Температура в пределах допустимого,sensor_7
2022-01-12 07:35:01,1518,5,молочная продукция,7.5,Температура вышла за пределы допустимого,sensor_5
2022-01-12 07:45:01,1519,5,молочная продукция,5.3,Температура в пределах допустимого,sensor_5
2022-01-12 07:50:01,1520,1,полукопченые колбасы,6.4,Температура вышла за пределы допустимого,sensor_1
2022-01-12 07:55:01,1521,2,вареные колбасы,8.4,Температура вышла за пределы допустимого,sensor_2
2022-01-12 08:15:00,1522,1,полукопченые колбасы,5.9,Температура в пределах допустимого,sensor_1
